epoch,train_loss,test_loss,test_recon,test_kld
1,106.24017571343316,105.41694121761248,105.41104125976562,0.005899957846850157
2,103.66688551839192,102.69451895047678,102.69412231445312,0.0003966360236518085
3,101.11164036051433,99.92500252067111,99.92314910888672,0.0018534117843955755
4,98.565540629069,97.53835152462125,97.52520751953125,0.013144005089998245
5,96.5449907430013,95.754843859002,95.7442855834961,0.010558275505900383
6,95.32036418321398,94.89458681782708,94.89122009277344,0.00336672505363822
7,94.5780111694336,94.31006574630737,94.30769348144531,0.002372264862060547
8,94.13395614963108,94.17862725286977,94.17789459228516,0.0007326605846174061
9,93.94718875461155,93.71556300352677,93.71524810791016,0.0003148956166114658
10,93.73046910942925,93.787156473496,93.78687286376953,0.0002836097264662385
11,93.60652601453992,93.51887649861601,93.51878356933594,9.292928007198498e-05
12,93.48140734185112,93.37303447799059,93.37276458740234,0.0002698905882425606
13,93.3649721001519,93.3079679334478,93.30792236328125,4.557016654871404e-05
14,93.22046533203125,93.24450469670046,93.24446105957031,4.363713014754467e-05
15,93.12573259819878,93.03181631892949,93.03177642822266,3.989070683019236e-05
16,93.00235647243923,92.90395188403272,92.90391540527344,3.647875928436406e-05
17,92.86221349419488,92.75453058696439,92.75443267822266,9.790874173631892e-05
18,92.75173867458767,92.66231631161645,92.66148376464844,0.0008325469680130482
19,92.63165894232856,92.5113155193394,92.51110076904297,0.0002147502964362502
20,92.51384109836154,92.56900124700041,92.56886291503906,0.00013833196135237813
21,92.43460006374784,92.40173473492905,92.40161895751953,0.0001157774095190689
22,92.34816760253906,92.29503643933276,92.29489135742188,0.00014508191088680178
23,92.23058261447483,92.14141272252891,92.14092254638672,0.000490176142193377
24,92.13830144585503,92.04114321846282,92.04084777832031,0.0002954401425085962
25,92.04345327419705,92.0190983148932,92.01884460449219,0.0002537104010116309
26,91.97269150797526,91.92207925407274,91.92192077636719,0.00015847770555410534
27,91.8951503092448,91.83093435839692,91.83070373535156,0.00023062304535415024
28,91.8215349867079,91.76586411724566,91.765380859375,0.00048325787065550685
