epoch,train_loss,test_loss,test_recon,test_kld
1,40.46832655504015,39.73211959004402,39.65763473510742,0.07448485493659973
2,39.055986606174045,38.40585759282112,38.36549758911133,0.04036000370979309
3,37.552721974690755,36.6147909257561,36.59519577026367,0.019595155492424965
4,35.65067364501953,34.62569381482899,34.60302734375,0.02266647107899189
5,33.83854456244575,33.198917023837566,33.13922119140625,0.059695832431316376
6,32.77462820773655,32.74072167277336,32.55948257446289,0.18123909831047058
7,32.390855994330515,32.75709226727486,32.301063537597656,0.4560287296772003
8,32.191302134195965,32.85794943571091,32.01016616821289,0.8477832674980164
9,31.97451910909017,32.979182958602905,31.76986312866211,1.209319829940796
10,31.781943383110892,32.99669146537781,31.57278060913086,1.4239108562469482
11,31.587293640136718,32.94480538368225,31.31113624572754,1.633669137954712
12,31.347011640760634,33.02646851539612,31.02220344543457,2.004265069961548
13,31.084360594007705,33.029109716415405,30.719072341918945,2.31003737449646
14,30.833618647257488,32.87995171546936,30.44770622253418,2.4322454929351807
15,30.59213781229655,32.77099823951721,30.200960159301758,2.570038080215454
16,30.34127273050944,32.60169005393982,29.916461944580078,2.685228109359741
17,30.073586992051865,32.334522008895874,29.583398818969727,2.7511231899261475
18,29.785736792670356,32.13471245765686,29.225610733032227,2.909101724624634
19,29.457806644015843,31.82449221611023,28.831043243408203,2.9934489727020264
20,29.09480748324924,31.480353593826294,28.422483444213867,3.0578701496124268
21,28.66884373304579,31.071460723876953,27.869747161865234,3.2017135620117188
22,28.106466751098633,30.546016454696655,27.260807037353516,3.2852094173431396
23,27.608829342312283,30.172497272491455,26.8111629486084,3.3613343238830566
24,27.182893037584094,29.75430655479431,26.2918701171875,3.4624364376068115
25,26.810934885660807,29.430378913879395,25.908206939697266,3.522171974182129
26,26.494183683607314,29.29244375228882,25.732696533203125,3.5597472190856934
27,26.324580657958986,29.109861135482788,25.471834182739258,3.6380269527435303
28,26.084475168863932,28.860300540924072,25.165180206298828,3.695120334625244
29,25.974935836791992,28.643459796905518,24.937047958374023,3.706411838531494
30,25.788930167304144,28.635255813598633,24.924745559692383,3.71051025390625
31,25.6900161658393,28.47312331199646,24.6630802154541,3.8100430965423584
32,25.597677497016058,28.200562238693237,24.406726837158203,3.793835401535034
33,25.583259516398112,28.322452306747437,24.53605842590332,3.786393880844116
34,25.713374048868815,28.38607144355774,24.5747013092041,3.8113701343536377
35,25.591716773139105,28.364271879196167,24.595006942749023,3.7692649364471436
36,25.571458140055338,27.82057547569275,24.094112396240234,3.7264630794525146
37,25.361818784925674,27.747607707977295,23.95819091796875,3.789416790008545
38,25.31380753750271,27.655190229415894,23.904926300048828,3.7502639293670654
39,25.27008694458008,27.63716435432434,23.90427589416504,3.7328884601593018
40,25.18562131754557,27.514235734939575,23.721576690673828,3.792659044265747
41,25.061654944525824,27.438873052597046,23.681188583374023,3.7576844692230225
42,25.087734549628365,27.329672813415527,23.558706283569336,3.7709665298461914
43,25.071348239474826,27.23056960105896,23.485048294067383,3.745521306991577
44,25.014906209309896,27.28838849067688,23.535234451293945,3.7531540393829346
45,25.041414839002822,27.156840085983276,23.415220260620117,3.741619825363159
46,25.129726608276368,27.16092824935913,23.398578643798828,3.7623496055603027
47,25.025400012546115,27.04959273338318,23.314910888671875,3.7346818447113037
48,24.933541927761503,26.941500425338745,23.2353572845459,3.7061431407928467
49,24.873731875949435,26.833932399749756,23.121362686157227,3.7125697135925293
50,24.905962056477865,26.88533067703247,23.16973876953125,3.7155919075012207
51,25.03483543565538,26.810158729553223,23.105810165405273,3.704348564147949
52,24.930439415825738,26.697914361953735,23.043214797973633,3.6546995639801025
53,24.88524152798123,26.62594771385193,22.92840576171875,3.6975419521331787
54,24.795014890882705,26.61296558380127,22.92201042175293,3.69095516204834
55,24.875921476576064,26.689622402191162,23.068803787231445,3.620818614959717
56,24.846746809217667,26.43282461166382,22.790082931518555,3.6427416801452637
57,24.89263624742296,26.593674659729004,22.914033889770508,3.679640769958496
