epoch,train_loss,test_loss,test_recon,test_kld
1,118.21146392822266,32.33808159828186,31.168264389038086,1.1698172092437744
2,115.95875549316406,32.156517028808594,31.147192001342773,1.0093250274658203
3,113.75847625732422,32.00798165798187,31.14388084411621,0.8641008138656616
4,111.35059356689453,31.861179292201996,31.123266220092773,0.7379130721092224
5,109.06615447998047,31.757949709892273,31.123361587524414,0.6345881223678589
6,106.8396987915039,31.654026091098785,31.096704483032227,0.5573216080665588
7,104.61302185058594,31.58325880765915,31.077823638916016,0.5054351687431335
8,102.45729064941406,31.542030185461044,31.074337005615234,0.46769317984580994
9,100.31689453125,31.485913336277008,31.048542022705078,0.43737131357192993
10,98.17064666748047,31.44589239358902,31.034286499023438,0.4116058945655823
11,96.27146911621094,31.41027480363846,31.01810073852539,0.3921740651130676
12,93.82205963134766,31.360183030366898,30.983745574951172,0.3764374554157257
13,91.90586853027344,31.342002660036087,30.983322143554688,0.35868051648139954
14,89.83021545410156,31.292484402656555,30.94687271118164,0.34561169147491455
15,87.66346740722656,31.29328402876854,30.969318389892578,0.3239656388759613
16,85.61294555664062,31.234351575374603,30.937286376953125,0.29706519842147827
17,83.50110626220703,31.13080781698227,30.865188598632812,0.2656192183494568
18,81.61199188232422,31.076775833964348,30.842960357666016,0.23381547629833221
19,79.38719177246094,31.047170355916023,30.844858169555664,0.2023121863603592
20,77.3890609741211,31.066512539982796,30.889965057373047,0.17654748260974884
21,75.08926391601562,31.017374128103256,30.862239837646484,0.15513429045677185
22,73.23478698730469,30.955987364053726,30.81912612915039,0.13686123490333557
23,71.2330322265625,30.90203806012869,30.779888153076172,0.12214990705251694
24,69.27838134765625,30.93599221855402,30.82378578186035,0.11220643669366837
25,67.54150390625,30.94193460047245,30.840158462524414,0.1017761379480362
26,65.66473388671875,30.791647598147392,30.69464111328125,0.09700648486614227
27,63.60314178466797,30.84448765218258,30.74893569946289,0.09555195271968842
28,61.71755599975586,30.577125415205956,30.483057022094727,0.09406839311122894
29,59.85931396484375,30.639541499316692,30.54390525817871,0.09563624113798141
30,57.968048095703125,30.70976362377405,30.61700439453125,0.09275922924280167
31,56.03105926513672,30.66258756816387,30.57651710510254,0.0860704630613327
32,54.50651931762695,30.40878038108349,30.3211727142334,0.08760766685009003
33,52.71323013305664,30.46103684604168,30.379215240478516,0.08182160556316376
34,50.88261413574219,30.41256457567215,30.338796615600586,0.07376796007156372
35,49.27642822265625,30.47753445059061,30.40151596069336,0.07601848989725113
36,47.91477584838867,30.389069713652134,30.294479370117188,0.09459034353494644
37,46.55657958984375,30.27013273537159,30.169483184814453,0.10064955055713654
38,44.94950485229492,30.30133831501007,30.198801040649414,0.10253727436065674
39,43.397621154785156,30.207064747810364,30.090808868408203,0.11625587940216064
40,41.995094299316406,30.48691914975643,30.34610366821289,0.14081548154354095
41,40.6146125793457,30.48418951034546,30.327377319335938,0.15681219100952148
42,39.365272521972656,30.450885742902756,30.3044376373291,0.14644810557365417
43,38.03669357299805,30.44940984249115,30.321788787841797,0.12762105464935303
44,36.90519332885742,29.986009165644646,29.87876319885254,0.10724596679210663
45,35.756168365478516,30.181566156446934,30.09234619140625,0.08921996504068375
46,34.56086730957031,30.238311275839806,30.161081314086914,0.07722996175289154
47,33.332664489746094,29.910012021660805,29.824993133544922,0.08501888811588287
48,32.36520767211914,30.002058662474155,29.907791137695312,0.09426752477884293
49,31.25251007080078,30.143337465822697,30.037960052490234,0.10537741333246231
50,30.363651275634766,30.17391113191843,30.058162689208984,0.11574844270944595
51,30.348451614379883,30.209466621279716,30.095291137695312,0.11417548358440399
52,30.25722312927246,29.651726379990578,29.54239273071289,0.10933364927768707
53,30.303543090820312,29.916196145117283,29.8131160736084,0.10308007150888443
54,30.296131134033203,29.9737913236022,29.872461318969727,0.10133000463247299
55,30.28082275390625,29.69362136721611,29.600025177001953,0.0935961902141571
56,30.10825538635254,29.560620322823524,29.46575355529785,0.09486676752567291
57,30.203166961669922,29.613290444016457,29.517318725585938,0.0959717184305191
58,30.097970962524414,29.712796412408352,29.618160247802734,0.09463616460561752
59,30.11321449279785,30.04131368547678,29.95550537109375,0.08580831438302994
60,30.07122802734375,29.574969053268433,29.4928035736084,0.08216547966003418
61,29.98543357849121,29.777428403496742,29.70511817932129,0.07231022417545319
62,30.013652801513672,30.131878308951855,30.068099975585938,0.0637783333659172
63,29.94399070739746,29.553873758763075,29.493616104125977,0.06025765463709831
64,29.962539672851562,29.304090715944767,29.24362564086914,0.06046507507562637
65,29.913293838500977,29.75856264680624,29.698612213134766,0.05995043367147446
66,29.870023727416992,29.666427545249462,29.60689926147461,0.05952828377485275
67,29.904720306396484,29.75650791078806,29.696523666381836,0.0599842444062233
68,29.810930252075195,29.46876298636198,29.40652847290039,0.06223451346158981
69,29.817020416259766,29.500222489237785,29.435253143310547,0.06496934592723846
70,29.913806915283203,29.481825217604637,29.41440200805664,0.06742320954799652
71,29.84257698059082,29.621834561228752,29.54262351989746,0.0792110413312912
72,29.780590057373047,29.2740570679307,29.18478775024414,0.08926931768655777
73,29.793323516845703,29.47429545223713,29.380895614624023,0.09339983761310577
74,29.76459312438965,29.796276591718197,29.70621109008789,0.09006550163030624
75,29.765783309936523,29.488976165652275,29.405941009521484,0.08303515613079071
76,29.6373291015625,29.548232562839985,29.473291397094727,0.07494116574525833
77,29.754972457885742,29.692879155278206,29.62173843383789,0.07114072144031525
78,29.677305221557617,29.481114991009235,29.412944793701172,0.06817019730806351
79,29.727909088134766,29.645703874528408,29.5715274810791,0.07417639344930649
